Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,DNS_Record,Web_Traffic,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards,Label
vk.com,0,0,1,1,1,0,0,0,1,1,1,1,0,0,1,0,1
j.mp,0,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1
connecti-auonepay-jp.qvkupji.cn,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,1
tradeswarehouse.com,0,0,0,3,0,0,0,0,1,1,1,1,0,0,1,0,1
179.43.140.208,0,0,0,3,0,0,0,0,1,1,1,1,0,0,1,0,1
maildomaiincheck7.web.app,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1
ekobebe.cn,0,0,1,2,0,0,0,0,1,1,1,1,0,0,1,0,1
pages-community-and-privacy-policy.cf,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,1
storage.cloud.google.com,0,0,1,2,0,0,1,0,1,1,1,1,0,0,1,0,1
bc1.paiementervice.com,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1
